action,source_rank,word,lemma,pos,form_type,sense_id,meaning_ja,level,importance,category,note,note2,semantic_review_reason
add,11,at,at,preposition,base,1,～で,junior_high,1,eiken,英検語彙由来のv2正本候補。英検最小級=5。出現級=5;4;3。pos判定=label_raw_all,source_refs=5:18;4:671;3:1163; row_count=3; label_raw_all=前置詞; meaning_ja_all=～で / で、に,real_meaning_variants
add,19,bear,bear,verb,base,1,クマ,junior_high,1,eiken,英検語彙由来のv2正本候補。英検最小級=5。出現級=5;4;pre2;2。pos判定=label_raw_all,source_refs=5:208;4:411;pre2:271;2:1738; row_count=4; label_raw_all=動詞; meaning_ja_all=クマ / 我慢する，を圧迫する,real_meaning_variants;possible_wrong_primary_meaning_for_pos
add,22,best,best,adjective,base,1,一番いちばん良よい,junior_high,1,eiken,英検語彙由来のv2正本候補。英検最小級=5。出現級=5;4。pos判定=v0_master_pos:adverb|adjective,source_refs=5:179;4:439; row_count=2,multiple_pos_from_v0
add,40,brush,brush,verb,base,1,をみがく,junior_high,1,eiken,英検語彙由来のv2正本候補。英検最小級=5。出現級=5;4;3。pos判定=label_raw_all,source_refs=5:353;4:576;3:475; row_count=3; label_raw_all=動詞; meaning_ja_all=をみがく / を磨みがく,real_meaning_variants
add,45,can,can,auxiliary,base,1,～できる,junior_high,1,eiken,英検語彙由来のv2正本候補。英検最小級=5。出現級=5;4。pos判定=v0_master_pos:auxiliary|noun,source_refs=5:100;4:407; row_count=2,multiple_pos_from_v0
add,68,delicious,delicious,adjective,base,1,おいしい,junior_high,1,eiken,英検語彙由来のv2正本候補。英検最小級=5。出現級=5;4;3。pos判定=label_raw_all,source_refs=5:576;4:276;3:65; row_count=3; label_raw_all=形容詞; meaning_ja_all=おいしい / 美味おいしい,real_meaning_variants
add,75,do,do,auxiliary,base,1,する,junior_high,1,eiken,英検語彙由来のv2正本候補。英検最小級=5。出現級=5;4。pos判定=v0_master_pos:verb|auxiliary,source_refs=5:4;4:252; row_count=2,multiple_pos_from_v0
add,80,draw,draw,verb,base,1,描えがく,junior_high,1,eiken,英検語彙由来のv2正本候補。英検最小級=5。出現級=5;4;3;pre2;2。pos判定=label_raw_all,source_refs=5:202;4:106;3:315;pre2:521;2:897; row_count=5; label_raw_all=動詞; meaning_ja_all=描えがく / 描く，引っ張る,real_meaning_variants
add,95,everyone,everyone,pronoun,base,1,みんな,junior_high,1,eiken,英検語彙由来のv2正本候補。英検最小級=5。出現級=5;4;3。pos判定=label_raw_all_multi:pronoun|noun,source_refs=5:525;4:278;3:459; row_count=3; label_raw_all=代名詞,multiple_pos_from_label_raw
add,96,excuse,excuse,noun,base,1,許ゆるす,junior_high,1,eiken,英検語彙由来のv2正本候補。英検最小級=5。出現級=5;4;3;pre2;2。pos判定=label_raw_all_multi:noun|verb,source_refs=5:445;4:612;3:1209;pre2:340;2:175; row_count=5; label_raw_all=動詞;名詞; meaning_ja_all=許ゆるす / 言い訳，弁解/を許す,multiple_pos_from_label_raw;real_meaning_variants;possible_wrong_primary_meaning_for_pos
add,98,face,face,noun,base,1,顔かお,junior_high,1,eiken,英検語彙由来のv2正本候補。英検最小級=5。出現級=5;4;3;pre2;2。pos判定=label_raw_all_multi:noun|verb,source_refs=5:217;4:55;3:150;pre2:994;2:1172; row_count=5; label_raw_all=名詞;動詞; meaning_ja_all=顔かお / 直面する/顔,multiple_pos_from_label_raw;real_meaning_variants
