expression,normalized_expression,entry_kind,meaning_ja_primary,meaning_ja_all,parari_level,importance,min_eiken_level,eiken_levels,label_raw_all,source_refs,row_count,guessed_lemma,inflected_reason
exciting,exciting,word,興奮こうふんさせる,興奮こうふんさせる,junior_high,1,5,5;4;3,形容詞,5:539;4:42;3:160,3,,possible -ing form
interesting,interesting,word,面白おもしろい,面白おもしろい,junior_high,1,5,5;4;3,形容詞,5:598;4:46;3:287,3,,possible -ing form
left,left,word,左ひだり,左ひだり,junior_high,1,5,5;4,,5:194;4:701,2,leave,known inflected form of leave
put,put,word,置く,置く / 置おく,junior_high,1,5,5;4;3,動詞,5:63;4:142;3:122,3,put,known inflected form of put
read,read,word,読よむ,読よむ,junior_high,1,5,5;4,,5:112;4:587,2,read,known inflected form of read
reading,reading,word,読書どくしょ,読書どくしょ,junior_high,1,5,5;4,,5:499;4:397,2,,possible -ing form
shopping,shopping,word,買かい物もの,買かい物もの,junior_high,1,5,5;4,,5:545;4:269,2,,possible -ing form
spring,spring,word,春はる,春はる,junior_high,1,5,5;4,,5:417;4:626,2,,possible -ing form
was,was,word,でした,でした,junior_high,1,5,5;4,,5:107;4:330,2,be,known inflected form of be
ate,ate,word,食たべた,食たべた,junior_high,1,4,4,,4:509,1,eat,known inflected form of eat
bought,bought,word,買かった,買かった,junior_high,1,4,4,,4:179,1,buy,known inflected form of buy
brought,brought,word,持もって来きた,持もって来きた,junior_high,1,4,4,,4:542,1,bring,known inflected form of bring
came,came,word,来きた,来きた,junior_high,1,4,4,,4:603,1,come,known inflected form of come
cried,cried,word,泣ないた,泣ないた,junior_high,1,4,4,,4:694,1,,possible -ed form
did,did,word,した,した,junior_high,1,4,4,,4:475,1,do,known inflected form of do
during,during,word,～の間あいだ,～の間あいだ / ～の間，～の間ずっと,junior_high,1,4,4;3;2,前置詞;接続詞,4:524;3:10;2:887,3,,possible -ing form
enjoyed,enjoyed,word,楽たのしんだ,楽たのしんだ,junior_high,1,4,4,,4:145,1,,possible -ed form
gave,gave,word,与あたえた,与あたえた,junior_high,1,4,4;3,動詞,4:427;3:651,2,give,known inflected form of give
got,got,word,得えた,得えた,junior_high,1,4,4,,4:167,1,get,known inflected form of get
had,had,word,食たべた,食たべた,junior_high,1,4,4,,4:177,1,have,known inflected form of have
lived,lived,word,住すんだ,住すんだ,junior_high,1,4,4,,4:543,1,,possible -ed form
made,made,word,作つくった,作つくった,junior_high,1,4,4;3,動詞,4:209;3:660,2,make,known inflected form of make
meaning,meaning,word,意味いみ,意味いみ,junior_high,1,4,4;3,名詞,4:464;3:221,2,,possible -ing form
people,people,word,人々ひとびと,人々ひとびと,junior_high,1,4,4;3,名詞,4:2;3:186,2,person,known inflected form of person
played,played,word,演奏えんそうした,演奏えんそうした,junior_high,1,4,4,,4:155,1,,possible -ed form
saw,saw,word,見みた,見みた,junior_high,1,4,4,,4:595,1,see,known inflected form of see
sent,sent,word,送おくった,送おくった,junior_high,1,4,4;3,動詞,4:708;3:710,2,send,known inflected form of send
sold,sold,word,売うった,売うった,junior_high,1,4,4;3,動詞,4:150;3:657,2,sell,known inflected form of sell
spoke,spoke,word,話はなした,話はなした,junior_high,1,4,4;3,動詞,4:146;3:659,2,speak,known inflected form of speak
stood,stood,word,立たった,立たった,junior_high,1,4,4,,4:139,1,stand,known inflected form of stand
stopped,stopped,word,止とまった,止とまった,junior_high,1,4,4,,4:384,1,,possible -ed form
studied,studied,word,勉強べんきょうした,勉強べんきょうした,junior_high,1,4,4;3,動詞,4:206;3:656,2,,possible -ed form
thought,thought,word,考かんがえ,考かんがえ / 考えること，意見,junior_high,1,4,4;3;pre2;2,名詞,4:172;3:796;pre2:201;2:1919,4,think,known inflected form of think
took,took,word,取とった,取とった,junior_high,1,4,4,,4:162,1,take,known inflected form of take
tried,tried,word,試ためした,試ためした,junior_high,1,4,4,,4:148,1,try,known inflected form of try
understood,understood,word,理解りかいした,理解りかいした,junior_high,1,4,4,,4:620,1,understand,known inflected form of understand
watched,watched,word,見みた,見みた,junior_high,1,4,4,,4:152,1,,possible -ed form
went,went,word,行いった,行いった,junior_high,1,4,4;3,動詞,4:186;3:420,2,go,known inflected form of go
worried,worried,word,心配しんぱいした,心配しんぱいした,junior_high,1,4,4,,4:208,1,,possible -ed form
amazing,amazing,word,驚おどろくべき,驚おどろくべき,junior_high,2,3,3,形容詞,3:299,1,,possible -ing form
ashamed,ashamed,word,恥はじて,恥はじて / 恥じて，恥ずかしくて,junior_high,1,3,3;2;pre1,形容詞,3:1141;2:2272;pre1:3015,3,,possible -ed form
beginning,beginning,word,最初さいしょ,最初さいしょ,junior_high,2,3,3,名詞,3:668,1,,possible -ing form
boring,boring,word,つまらない,つまらない,junior_high,2,3,3,形容詞,3:290,1,,possible -ing form
breed,breed,word,を飼育しいくする，繁殖はんしょくする,を飼育しいくする，繁殖はんしょくする / を飼育する，繁殖する,junior_high,1,3,3;2;pre1,動詞,3:877;2:2036;pre1:232,3,,possible -ed form
drove,drove,word,運転うんてんした,運転うんてんした,junior_high,2,3,3,動詞,3:779,1,drive,known inflected form of drive
excited,excited,word,興奮こうふんした,興奮こうふんした,junior_high,2,3,3,形容詞,3:40,1,,possible -ed form
