expression,normalized_expression,entry_kind,meaning_ja_primary,meaning_ja_all,parari_level,importance,min_eiken_level,eiken_levels,label_raw_all,source_refs,row_count
a lot of,a lot of,phrase,たくさんの,たくさんの,junior_high,1,5,5;4;3,熟語,5:555;4:96;3:95,3
and so on,and so on,phrase,などなど,などなど,junior_high,1,5,5;4;3;pre2;2,熟語,5:588;4:388;3:1204;pre2:108;2:2099,5
at noon,at noon,phrase,正午しょうごに,正午しょうごに,junior_high,1,5,5;4;3,熟語,5:502;4:390;3:862,3
be interested in,be interested in,phrase,に興味きょうみがある,に興味きょうみがある,junior_high,1,5,5;4;3,熟語,5:625;4:721;3:127,3
be(get) excited,be(get) excited,phrase,興奮こうふんをする,興奮こうふんをする,junior_high,1,5,5;4,,5:621;4:564,2
between A and B,between a and b,phrase,AとBの間あいだ,AとBの間あいだ / AとBの間，AとBの中間,junior_high,1,5,5;4;3;2,熟語,5:624;4:677;3:167;2:636,4
by bus,by bus,phrase,バスで,バスで,junior_high,1,5,5;4;3,熟語,5:460;4:470;3:719,3
by car,by car,phrase,車くるまで,車くるまで,junior_high,1,5,5;4;3,熟語,5:461;4:573;3:835,3
check ～ out,check ~ out,phrase,を確認かくにんする,を確認かくにんする,junior_high,1,5,5;4;3,熟語,5:611;4:720;3:961,3
elementary school,elementary school,phrase,小学校しょうがっこう,小学校しょうがっこう,junior_high,1,5,5;4;3,熟語,5:628;4:374;4:398;3:773,4
entrance ceremony,entrance ceremony,phrase,入学式にゅうがくしき,入学式にゅうがくしき,junior_high,1,5,5;4;3,熟語,5:630;4:641;3:775,3
farewell party,farewell party,phrase,送別会そうべつかい,送別会そうべつかい,junior_high,1,5,5;4;3,熟語,5:618;4:485;3:772,3
field trip,field trip,phrase,遠足えんそく,遠足えんそく,junior_high,1,5,5;4;3,熟語,5:591;4:453;3:763,3
for here,for here,phrase,ここで食たべる,ここで食たべる,junior_high,1,5,5;4;3,熟語,5:549;4:602;3:1155,3
get up,get up,phrase,起おきる,起おきる,junior_high,1,5,5;4;3,熟語,5:458;4:516;3:1111,3
go back to,go back to,phrase,に戻もどる,に戻もどる,junior_high,1,5,5;4,,5:595;4:710,2
go straight,go straight,phrase,まっすぐ行いく,まっすぐ行いく,junior_high,1,5,5;4;3,熟語,5:608;4:688;3:735,3
have a headache,have a headache,phrase,頭痛ずつうがする,頭痛ずつうがする,junior_high,1,5,5;4;3,熟語,5:622;4:592;3:789,3
help with,help with,phrase,を助たすける,を助たすける,junior_high,1,5,5;4;3,熟語,5:586;4:712;3:679,3
high school,high school,phrase,高校こうこう,高校こうこう,junior_high,1,5,5;4,,5:605;4:686,2
How about,how about,phrase,はどうですか？,はどうですか？,junior_high,1,5,5;4;3,熟語,5:582;4:696;3:30,3
junior high school,junior high school,phrase,中学校ちゅうがっこう,中学校ちゅうがっこう,junior_high,1,5,5;4;3,名詞,5:631;4:645;3:1028,3
learn a lot from,learn a lot from,phrase,からたくさん学まなぶ,からたくさん学まなぶ,junior_high,1,5,5;4;3,熟語,5:627;4:668;3:1193,3
learn about,learn about,phrase,について学まなぶ,について学まなぶ,junior_high,1,5,5;4;3,熟語,5:602;4:591;3:747,3
listen to,listen to,phrase,聴きく,聴きく,junior_high,1,5,5;4,,5:585;4:410,2
look at,look at,phrase,を見みる,を見みる,junior_high,1,5,5;4;3,熟語,5:503;4:452;3:1192,3
middle school,middle school,phrase,中学校ちゅうがっこう,中学校ちゅうがっこう,junior_high,1,5,5,,5:615,1
on the way,on the way,phrase,道みちの途中とちゅうで,道みちの途中とちゅうで,junior_high,1,5,5;4;3,熟語,5:594;4:628;3:725,3
on weekends,on weekends,phrase,週末しゅうまつに,週末しゅうまつに,junior_high,1,5,5;4;3,熟語,5:604;4:538;3:202,3
on your left,on your left,phrase,左側ひだりがわに,左側ひだりがわに,junior_high,1,5,5;4,,5:612;4:715,2
on your right,on your right,phrase,右側みぎがわに,右側みぎがわに,junior_high,1,5,5;4;3,熟語,5:617;4:606;3:783,3
say again,say again,phrase,もう一度いちど言いう,もう一度いちど言いう,junior_high,1,5,5;4;3,熟語,5:584;4:404;3:675,3
school festival,school festival,phrase,文化祭ぶんかさい,文化祭ぶんかさい,junior_high,1,5,5;4;3,名詞,5:620;4:678;3:486,3
sit down,sit down,phrase,座すわる,座すわる,junior_high,1,5,5;4;3,熟語,5:553;4:504;3:1168,3
stand up,stand up,phrase,立たつ,立たつ / 立つ，起きる,junior_high,1,5,5;4;2,熟語,5:550;4:598;2:828,3
stay up,stay up,phrase,起おきている,起おきている / (夜遅くまで)起きている，覚醒している,junior_high,1,5,5;4;3;2,熟語,5:504;4:552;3:1075;2:882,4
take a rest,take a rest,phrase,休憩きゅうけいする,休憩きゅうけいする,junior_high,1,5,5;4;3,熟語,5:609;4:530;3:954,3
take out,take out,phrase,持もち帰かえり,持もち帰かえり,junior_high,1,5,5;4;3,熟語,5:548;4:425;3:889,3
to go,to go,phrase,持もち帰かえり,持もち帰かえり,junior_high,1,5,5;4;3,熟語,5:379;4:553;3:1014,3
wait for,wait for,phrase,を待まつ,を待まつ / を待つ，を待ち受ける,junior_high,1,5,5;4;3;2,熟語,5:552;4:643;3:571;2:601,4
walk to,walk to,phrase,へ歩あるいて行いく,へ歩あるいて行いく,junior_high,1,5,5;4,,5:500;4:440,2
with a smile,with a smile,phrase,笑顔えがおで,笑顔えがおで,junior_high,1,5,5;4;3,熟語,5:614;4:672;3:850,3
worry about,worry about,phrase,について心配しんぱいする,について心配しんぱいする,junior_high,1,5,5;4;3,熟語,5:607;4:442;3:614,3
write down,write down,phrase,書かく,書かく,junior_high,1,5,5;4;3,熟語,5:592;4:562;3:804,3
a few,a few,phrase,いくらかの,いくらかの,junior_high,1,4,4;3,形容詞,4:385;3:558,2
arrive at,arrive at,phrase,に到着とうちゃくする,に到着とうちゃくする,junior_high,1,4,4;3,熟語,4:387;3:895,2
ask about,ask about,phrase,～について聞きく,～について聞きく,junior_high,1,4,4,,4:391,1
ask for,ask for,phrase,～に求もとめる,～に求もとめる,junior_high,1,4,4,,4:443,1
be born,be born,phrase,生うまれる,生うまれる,junior_high,1,4,4;3,熟語,4:662;3:206,2
be famous for,be famous for,phrase,で有名ゆうめいである,で有名ゆうめいである,junior_high,1,4,4;3,熟語,4:723;3:854,2
be scared of,be scared of,phrase,が怖こわい,が怖こわい,junior_high,1,4,4;3,熟語,4:386;3:1108,2
call back,call back,phrase,折おり返かえし電話でんわする,折おり返かえし電話でんわする,junior_high,1,4,4;3,熟語,4:472;3:1166,2
decide to,decide to,phrase,に決きめる,に決きめる,junior_high,1,4,4;3,熟語,4:484;3:1054,2
even so,even so,phrase,それでも,それでも,junior_high,1,4,4;3,熟語,4:714;3:927,2
every minutes,every minutes,phrase,毎分まいふんごとに,毎分まいふんごとに,junior_high,1,4,4;3,熟語,4:511;3:722,2
for example,for example,phrase,例たとえば,例たとえば / 例えば，たとえ… としても,junior_high,1,4,4;3;2,熟語,4:396;3:1049;2:109,3
foreign language,foreign language,phrase,外国語がいこくご,外国語がいこくご,junior_high,1,4,4;3,名詞,4:648;3:1050,2
from now on,from now on,phrase,これから,これから / これからは / これから先も，今後も,junior_high,1,4,4;3;2,熟語,4:718;3:795;2:621,3
