word,suggested_level,junior_meaning_ja,high_meaning_ja,source_names,source_ranks,master_status,master_levels,master_pos,master_meaning_ja,match_count
about,junior_high,について、に関する,,junior_word_list,2;725,existing,junior_high,preposition,〜について・およそ,2
above,junior_high,上に，上記の,,junior_word_list,1247,existing,junior_high,preposition,〜の上に・〜を超えて,2
abroad,junior_high,外国に、海外に,外国で,junior_word_list;high_word_list,727;1903;433,existing,junior_high,adverb,外国へ・外国で,2
absent,junior_high,欠席の,,junior_word_list,729,existing,junior_high,adjective,欠席の・不在の,2
accept,junior_high,を受け入れる,受け入れる,junior_word_list;high_word_list,1248;299,existing,high_school,verb,受け入れる・認める,2
accident,junior_high,事故,,junior_word_list,1249,existing,junior_high,noun,事故,2
across,junior_high,横断して,,junior_word_list,731,existing,junior_high,preposition;adverb,〜を横切って・〜の向こう側に / 横切って・向こう側へ,4
action,junior_high,行動,,junior_word_list,732,existing,junior_high,noun,行動,2
activity,junior_high,活動,活動,junior_word_list;high_word_list,3;426,existing,high_school,noun,活動,4
actor,junior_high,俳優,,junior_word_list,4,existing,junior_high,noun,俳優,2
actually,junior_high,実は，本当は,実際に,junior_word_list;high_word_list,1250;87,existing,high_school,adverb,実際に・実は,2
add,junior_high,加える,足し算する,junior_word_list;high_word_list,733;154,existing,junior_high,verb,加える,2
address,junior_high,住所,住所,junior_word_list;high_word_list,1251;506,existing,junior_high,noun,住所,2
advice,junior_high,忠告,助言,junior_word_list;high_word_list,734;507,existing,junior_high,noun,忠告・助言,2
advise,junior_high,助言する,,junior_word_list,735,existing,junior_high,verb,忠告する・助言する,2
affect,junior_high,に影響を与える,,junior_word_list,1252,existing,high_school,verb,影響を与える,2
afraid,junior_high,こわがって,心配して,junior_word_list;high_word_list,736;270,existing,junior_high,adjective,恐れて,2
after,junior_high,～のあとに,,junior_word_list,5;738;739;1864,existing,junior_high,preposition,〜の後に,2
afternoon,junior_high,午後,,junior_word_list,6,existing,junior_high,noun,午後,2
again,junior_high,もう一度、再び、また,,junior_word_list,7,existing,junior_high,adverb,もう一度・再び,2
against,junior_high,に対抗して、反対して,,junior_word_list,8,existing,high_school,preposition,〜に反対して・〜に逆らって,2
age,junior_high,年齢,,junior_word_list,9;741,existing,junior_high,noun,年齢,2
ago,junior_high,～の前に,,junior_word_list,742,existing,junior_high,adverb,前に,2
agree,junior_high,賛成する,同意する,junior_word_list;high_word_list,1254;187,existing,high_school,verb,同意する・意見が一致する,2
ahead,junior_high,前方に,,junior_word_list,1256,existing,junior_high,adverb,前方に・先に,2
airplane,junior_high,飛行機,,junior_word_list,744,existing,junior_high,noun,飛行機,2
airport,junior_high,空港,,junior_word_list,745,existing,junior_high,noun,空港,2
all,junior_high,全部、全員、全て、みな,,junior_word_list,10;747,existing,junior_high,adverb,まったく・すっかり・みんな・すべて,2
almost,junior_high,ほとんど,,junior_word_list,1258,existing,junior_high,adverb,ほとんど,2
alone,junior_high,独りで,,junior_word_list,748,existing,junior_high,adverb,ひとりで,2
along,junior_high,に沿って,,junior_word_list,11,existing,junior_high,preposition,〜に沿って,2
already,junior_high,すでに,,junior_word_list,605;1259,existing,junior_high,adverb,すでに,2
also,junior_high,もまた,,junior_word_list,12;13,existing,junior_high,adverb,〜もまた,2
although,junior_high,であるけれど,だけれども,junior_word_list;high_word_list,1260;487,existing,high_school,conjunction,〜だけれども,2
always,junior_high,いつも,,junior_word_list,14,existing,junior_high,adverb,いつも,2
am,junior_high,午前,,junior_word_list,1;15;16,existing,junior_high,auxiliary,いる・ある,1
among,junior_high,の中で,,junior_word_list,749,existing,junior_high,preposition,〜の間に・〜の中で,2
amount,junior_high,量，額,量,junior_word_list;high_word_list,1263;116,existing,high_school,noun,量・総額,2
an,junior_high,1つの、1人の,,junior_word_list,17,existing,junior_high,article,ひとつの・ある,1
ancient,junior_high,古代の,古代の,junior_word_list;high_word_list,750;366,existing,high_school,adjective,古代の・昔の,2
and,junior_high,それと,,junior_word_list,18;19,existing,junior_high,conjunction,そして・〜と,2
angry,junior_high,怒って,,junior_word_list,752;1264,existing,junior_high,adjective,怒っている,2
animal,junior_high,動物,,junior_word_list,21;659,existing,junior_high,noun,動物,2
another,junior_high,ほかの、別の,,junior_word_list,22;753;1886,existing,junior_high,adjective,ほかの・もう一つの,2
answer,junior_high,に答える,,junior_word_list,754;1867,existing,junior_high,noun;verb,答え / 答える,4
any,junior_high,どれもない,,junior_word_list,1267;1268,existing,high_school,adjective,いくらかの・どんな〜でも,4
anyway,junior_high,ともかく,,junior_word_list,1929,existing,junior_high,adverb,とにかく,2
appear,junior_high,現れる,現れる,junior_word_list;high_word_list,756;370,existing,high_school,verb,現れる・〜のように見える,2
apple,junior_high,りんご,,junior_word_list,23,existing,junior_high,noun,りんご,2
apply,junior_high,当てはまる,適用する,junior_word_list;high_word_list,1269;200,existing,high_school,verb,申し込む・適用する,2
april,junior_high,４月,,junior_word_list,24,existing,junior_high,noun,4月,2
are,junior_high,です、ます,,junior_word_list,26;27;757,existing,junior_high,auxiliary,ある・いる・〜である,1
area,junior_high,区域、場所、地域,,junior_word_list,28,existing,junior_high,noun,地域・区域,2
arm,junior_high,腕,,junior_word_list,758;1270,existing,junior_high,noun,腕,2
army,junior_high,陸軍,,junior_word_list,1271,existing,junior_high,noun,陸軍・軍隊,2
around,junior_high,の近くに,,junior_word_list,29;30;31;32;1272,existing,junior_high,preposition,〜の周りに・およそ,2
arrive,junior_high,到着する,,junior_word_list,604;759,existing,junior_high,verb,到着する,2
arrow,junior_high,矢,,junior_word_list,1274,existing,junior_high,noun,矢,2
art,junior_high,美術,,junior_word_list,33;626,existing,junior_high,noun,美術・芸術,2
as,junior_high,として,,junior_word_list,34;762,existing,junior_high,conjunction,〜するとき・〜なので・〜のように,2
ashamed,junior_high,恥じて,,junior_word_list,1276,existing,junior_high,adjective,恥じて,2
ask,junior_high,をたのむ,,junior_word_list,764,existing,junior_high,verb,尋ねる・頼む,2
at,junior_high,【場所】に、で,,junior_word_list,35;36;37;1277,existing,junior_high,preposition,〜で・〜に,2
ate,junior_high,食べた（過去形）,,junior_word_list,38,existing,junior_high,verb,食べる（過去形）,1
attend,junior_high,に通う，に出席する,出席する,junior_word_list;high_word_list,1278;956;1459,existing,high_school,verb,出席する・通う,2
august,junior_high,8月,,junior_word_list,39,existing,junior_high,noun,8月,2
aunt,junior_high,おば,,junior_word_list,613;765,existing,junior_high,noun,おば,2
autumn,junior_high,秋,,junior_word_list,40,existing,junior_high,noun,秋,2
awake,junior_high,目が覚める,目を覚ましている,junior_word_list;high_word_list,1280;1217;1720,existing,junior_high,verb,目が覚める / 目が覚める（過去形） / 目が覚める（過去分詞）,4
away,junior_high,はなれて、去って,,junior_word_list,41;766;1880,existing,junior_high,adverb,離れて・去って,2
baby,junior_high,赤ん坊,,junior_word_list,767,existing,junior_high,noun,赤ん坊,2
back,junior_high,戻って、返して,,junior_word_list,42;1282,existing,junior_high,adjective,後ろの・裏の,2
bad,junior_high,悪い,,junior_word_list,43,existing,junior_high,adjective,悪い / より悪い / 最も悪い,4
bag,junior_high,かばん,,junior_word_list,45,existing,junior_high,noun,かばん,2
bake,junior_high,焼く,,junior_word_list,1283,existing,junior_high,verb,焼く,2
barber,junior_high,散髪屋,,junior_word_list,1285,existing,junior_high,noun,床屋・理髪師,2
baseball,junior_high,野球,,junior_word_list,46,existing,junior_high,noun,野球,2
bath,junior_high,入浴,,junior_word_list,47;698,existing,junior_high,noun,風呂,2
